Date,HomeTeam,AwayTeam,home_xG,away_xG,home_xGA,away_xGA
2024-08-16 19:00:00,Man United,Fulham,2.04268,0.418711,0.418711,2.04268
2024-08-17 14:00:00,Arsenal,Wolves,1.6283,0.575835,0.575835,1.6283
2024-08-17 14:00:00,Everton,Brighton,0.405325,1.79083,1.79083,0.405325
2024-08-17 11:30:00,Ipswich,Liverpool,0.342601,3.92906,3.92906,0.342601
2024-08-17 14:00:00,Newcastle,Southampton,0.433489,1.95483,1.95483,0.433489
2024-08-17 14:00:00,Nott'm Forest,Bournemouth,1.24405,1.90915,1.90915,1.24405
2024-08-17 16:30:00,West Ham,Aston Villa,2.8047,2.6703,2.6703,2.8047
2024-08-18 13:00:00,Brentford,Crystal Palace,1.38064,1.14757,1.14757,1.38064
2024-08-18 15:30:00,Chelsea,Man City,1.06123,1.18038,1.18038,1.06123
2024-08-19 19:00:00,Leicester,Tottenham,1.02614,1.40775,1.40775,1.02614
2024-08-24 16:30:00,Aston Villa,Arsenal,1.31664,1.41399,1.41399,1.31664
2024-08-24 11:30:00,Brighton,Man United,2.14153,1.28556,1.28556,2.14153
2024-08-24 14:00:00,Crystal Palace,West Ham,1.3761,1.53421,1.53421,1.3761
2024-08-24 14:00:00,Fulham,Leicester,1.96218,0.857005,0.857005,1.96218
2024-08-24 14:00:00,Man City,Ipswich,3.07818,0.479999,0.479999,3.07818
2024-08-24 14:00:00,Southampton,Nott'm Forest,0.214952,2.86475,2.86475,0.214952
2024-08-24 14:00:00,Tottenham,Everton,2.61143,0.648869,0.648869,2.61143
2024-08-25 13:00:00,Bournemouth,Newcastle,2.53513,1.89287,1.89287,2.53513
2024-08-25 15:30:00,Liverpool,Brentford,2.71877,0.457239,0.457239,2.71877
2024-08-25 13:00:00,Wolves,Chelsea,2.4181,2.02935,2.02935,2.4181
2024-08-31 11:30:00,Arsenal,Brighton,2.41798,1.81748,1.81748,2.41798
2024-08-31 14:00:00,Brentford,Southampton,3.86281,1.64713,1.64713,3.86281
2024-08-31 14:00:00,Everton,Bournemouth,2.55629,2.95688,2.95688,2.55629
2024-08-31 14:00:00,Ipswich,Fulham,0.707048,1.18883,1.18883,0.707048
2024-08-31 14:00:00,Leicester,Aston Villa,0.774741,2.16385,2.16385,0.774741
2024-08-31 14:00:00,Nott'm Forest,Wolves,1.41069,0.937632,0.937632,1.41069
2024-08-31 16:30:00,West Ham,Man City,0.947201,3.19297,3.19297,0.947201
2024-09-01 12:30:00,Chelsea,Crystal Palace,2.97743,0.459708,0.459708,2.97743
2024-09-01 15:00:00,Man United,Liverpool,1.50087,2.10397,2.10397,1.50087
2024-09-01 12:30:00,Newcastle,Tottenham,1.58694,1.63304,1.63304,1.58694
2024-09-14 16:30:00,Aston Villa,Everton,3.15876,0.852158,0.852158,3.15876
2024-09-14 19:00:00,Bournemouth,Chelsea,1.53731,0.932726,0.932726,1.53731
2024-09-14 14:00:00,Brighton,Ipswich,1.75696,0.721323,0.721323,1.75696
2024-09-14 14:00:00,Crystal Palace,Leicester,2.88716,1.65187,1.65187,2.88716
2024-09-14 14:00:00,Fulham,West Ham,2.88601,0.682719,0.682719,2.88601
2024-09-14 14:00:00,Liverpool,Nott'm Forest,1.17044,0.589532,0.589532,1.17044
2024-09-14 14:00:00,Man City,Brentford,1.55279,1.05094,1.05094,1.55279
2024-09-14 11:30:00,Southampton,Man United,1.35593,3.02693,3.02693,1.35593
2024-09-15 13:00:00,Tottenham,Arsenal,0.792595,1.1209,1.1209,0.792595
2024-09-15 15:30:00,Wolves,Newcastle,1.46969,1.48343,1.48343,1.46969
2024-09-21 14:00:00,Aston Villa,Wolves,2.37351,0.520117,0.520117,2.37351
2024-09-21 16:30:00,Crystal Palace,Man United,1.66928,2.35056,2.35056,1.66928
2024-09-21 14:00:00,Fulham,Newcastle,3.21141,1.09768,1.09768,3.21141
2024-09-21 14:00:00,Leicester,Everton,1.33793,1.82377,1.82377,1.33793
2024-09-21 14:00:00,Liverpool,Bournemouth,2.43731,1.46979,1.46979,2.43731
2024-09-21 14:00:00,Southampton,Ipswich,2.89813,1.645,1.645,2.89813
2024-09-21 14:00:00,Tottenham,Brentford,3.89481,0.893565,0.893565,3.89481
2024-09-21 11:30:00,West Ham,Chelsea,0.758267,2.39727,2.39727,0.758267
2024-09-22 13:00:00,Brighton,Nott'm Forest,1.56836,1.36923,1.36923,1.56836
2024-09-22 15:30:00,Man City,Arsenal,2.75588,1.28411,1.28411,2.75588
2024-09-28 14:00:00,Arsenal,Leicester,6.05305,0.337909,0.337909,6.05305
2024-09-28 14:00:00,Brentford,West Ham,0.370222,0.878617,0.878617,0.370222
2024-09-28 14:00:00,Chelsea,Brighton,3.65839,1.20712,1.20712,3.65839
2024-09-28 14:00:00,Everton,Crystal Palace,1.10959,1.12358,1.12358,1.10959
2024-09-28 11:30:00,Newcastle,Man City,1.34344,1.26516,1.26516,1.34344
2024-09-28 14:00:00,Nott'm Forest,Fulham,0.614351,1.43592,1.43592,0.614351
2024-09-28 16:30:00,Wolves,Liverpool,0.748925,2.11724,2.11724,0.748925
2024-09-29 13:00:00,Ipswich,Aston Villa,1.84608,1.14494,1.14494,1.84608
2024-09-29 15:30:00,Man United,Tottenham,0.600721,5.4072,5.4072,0.600721
2024-09-30 19:00:00,Bournemouth,Southampton,1.44215,0.696068,0.696068,1.44215
2024-10-05 14:00:00,Arsenal,Southampton,3.25165,1.27313,1.27313,3.25165
2024-10-05 14:00:00,Brentford,Wolves,4.13513,0.696254,0.696254,4.13513
2024-10-05 11:30:00,Crystal Palace,Liverpool,0.609481,2.07332,2.07332,0.609481
2024-10-05 16:30:00,Everton,Newcastle,0.692214,1.79048,1.79048,0.692214
2024-10-05 14:00:00,Leicester,Bournemouth,0.912063,1.94963,1.94963,0.912063
2024-10-05 14:00:00,Man City,Fulham,1.36684,2.75846,2.75846,1.36684
2024-10-05 14:00:00,West Ham,Ipswich,4.39402,1.18463,1.18463,4.39402
2024-10-06 13:00:00,Aston Villa,Man United,0.532809,0.448537,0.448537,0.532809
2024-10-06 15:30:00,Brighton,Tottenham,1.97217,1.09279,1.09279,1.97217
2024-10-06 13:00:00,Chelsea,Nott'm Forest,2.27752,1.66654,1.66654,2.27752
2024-10-19 16:30:00,Bournemouth,Arsenal,2.18419,0.740758,0.740758,2.18419
2024-10-19 14:00:00,Fulham,Aston Villa,2.63074,1.43595,1.43595,2.63074
2024-10-19 14:00:00,Ipswich,Everton,1.174,1.60804,1.60804,1.174
2024-10-19 14:00:00,Man United,Brentford,1.76555,0.892843,0.892843,1.76555
2024-10-19 14:00:00,Newcastle,Brighton,1.93657,1.6779,1.6779,1.93657
2024-10-19 14:00:00,Southampton,Leicester,2.42776,2.83826,2.83826,2.42776
2024-10-19 11:30:00,Tottenham,West Ham,1.44052,0.858803,0.858803,1.44052
2024-10-20 15:30:00,Liverpool,Chelsea,2.22517,1.33904,1.33904,2.22517
2024-10-20 13:00:00,Wolves,Man City,0.761217,1.36569,1.36569,0.761217
2024-10-21 19:00:00,Nott'm Forest,Crystal Palace,1.88573,0.835001,0.835001,1.88573
2024-10-25 19:00:00,Leicester,Nott'm Forest,0.832415,2.54488,2.54488,0.832415
2024-10-26 14:00:00,Aston Villa,Bournemouth,1.974,0.328651,0.328651,1.974
2024-10-26 14:00:00,Brentford,Ipswich,4.09663,1.65698,1.65698,4.09663
2024-10-26 14:00:00,Brighton,Wolves,1.51347,1.11074,1.11074,1.51347
2024-10-26 16:30:00,Everton,Fulham,0.884845,1.49531,1.49531,0.884845
2024-10-26 14:00:00,Man City,Southampton,3.16286,0.369989,0.369989,3.16286
2024-10-27 16:30:00,Arsenal,Liverpool,1.0883,1.35346,1.35346,1.0883
2024-10-27 14:00:00,Chelsea,Newcastle,1.61794,1.74225,1.74225,1.61794
2024-10-27 14:00:00,Crystal Palace,Tottenham,0.978611,1.0192,1.0192,0.978611
2024-10-27 14:00:00,West Ham,Man United,2.99312,2.62598,2.62598,2.99312
2024-11-02 15:00:00,Bournemouth,Man City,2.4493,2.3527,2.3527,2.4493
2024-11-02 15:00:00,Ipswich,Leicester,1.33617,2.33858,2.33858,1.33617
2024-11-02 15:00:00,Liverpool,Brighton,1.81037,1.01568,1.01568,1.81037
2024-11-02 12:30:00,Newcastle,Arsenal,0.859715,0.911305,0.911305,0.859715
2024-11-02 15:00:00,Nott'm Forest,West Ham,2.35011,0.132317,0.132317,2.35011
2024-11-02 15:00:00,Southampton,Everton,0.540345,1.78581,1.78581,0.540345
